Latitude (decimal degrees):	48.200
Longitude (decimal degrees):	16.369
Radiation database:	PVGIS-SARAH

Results for:	July
Slope of plane (deg.):	10
Azimuth (orientation) of plane (deg.):	90
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		30.87		0.08		30.73
05:00		104.71		29.0		75.48
06:00		224.24		102.26		121.54
07:00		359.42		199.08		159.68
08:00		489.33		294.92		193.56
09:00		585.02		356.22		227.84
10:00		626.76		373.91		251.86
11:00		647.92		386.11		260.83
12:00		641.23		391.76		248.53
13:00		586.56		340.68		245.05
14:00		524.41		313.37		210.33
15:00		429.98		254.96		174.46
16:00		310.22		174.87		134.97
17:00		172.88		87.06		85.62
18:00		40.43		15.18		25.21
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2021